player_name,team,salary
Stephen Curry,GSW,48070014
John Wall,LAC,47345760
Russell Westbrook,LAL/LAC,47080179
LeBron James,LAL,44474988
Kevin Durant,BRK/PHO,44119845
Bradley Beal,WAS,43279250
Kawhi Leonard,LAC,42492492
Paul George,LAC,42492492
Giannis Antetokounmpo,MIL,42492492
Damian Lillard,POR,42492492
Klay Thompson,GSW,40600080
Kyrie Irving,BRK/DAL,38917057
Rudy Gobert,MIN,38172414
Khris Middleton,MIL,37984276
Anthony Davis,LAL,37980720
Jimmy Butler,MIA,37653300
Tobias Harris,PHI,37633050
Kemba Walker,DAL,37281261
Trae Young,ATL,37096500
Zach LaVine,CHI,37096500
Ben Simmons,BRK,35448672
Pascal Siakam,TOR,35448672
Myles Turner,IND,35096500
Jrue Holiday,MIL,34319520
Karl-Anthony Towns,MIN,33833400
Devin Booker,PHO,33833400
Andrew Wiggins,GSW,33616770
Joel Embiid,PHI,33616770
CJ McCollum,NOP,33333333
James Harden,PHI,33000000
Jamal Murray,DEN,31650600
Brandon Ingram,NOP,31650600
D'Angelo Russell,LAL/MIN,31377750
Donovan Mitchell,CLE,30913750
Shai Gilgeous-Alexander,OKC,30913750
Deandre Ayton,PHO,30913750
Kevin Love,CLE/MIA,30556968
Jayson Tatum,BOS,30351780
Bam Adebayo,MIA,30351780
De'Aaron Fox,SAC,30351780
Gordon Hayward,CHO,30075000
Jaylen Brown,BOS,29776785
Chris Paul,PHO,28400000
Kyle Lowry,MIA,28333334
Jalen Brunson,NYK,27733332
DeMar DeRozan,CHI,27300000
Al Horford,BOS,26500000
Draymond Green,GSW,25806468
Julius Randle,NYK,23760000
John Collins,ATL,23500000
Mike Conley,MIN/UTA,22680000
Malcolm Brogdon,BOS,22600000
Anfernee Simons,POR,22321429
Terry Rozier,CHO,21486316
Fred VanVleet,TOR,21250000
Buddy Hield,IND,21177750
Domantas Sabonis,SAC,21100000
Jerami Grant,POR,20955000
Aaron Gordon,DEN,20690909
Mikal Bridges,BRK/PHO,20100000
Jarrett Allen,CLE,20000000
Nicolas Batum,LAC,19700319
Eric Gordon,HOU/LAC,19568360
Spencer Dinwiddie,BRK/DAL,19500000
Caris LeVert,CLE,18796296
Joe Harris,BRK,18642857
Harrison Barnes,SAC,18352273
Clint Capela,ATL,18206896
Evan Fournier,NYK,18000000
Steven Adams,MEM,17926829
Jonathan Isaac,ORL,17400000
OG Anunoby,TOR,17357143
Marcus Smart,BOS,17207142
Derrick White,BOS,17142857
Dejounte Murray,ATL,17071120
Mitchell Robinson,NYK,17045454
Duncan Robinson,MIA,16902000
Norman Powell,LAC,16758621
Collin Sexton,UTA,16700000
Markelle Fultz,ORL,16500000
Lauri Markkanen,UTA,16475454
Marcus Morris,LAC,16372093
Malik Beasley,LAL/UTA,15558035
Luguentz Dort,OKC,15277778
Will Barton,WAS/TOR,15059712
Tyus Jones,MEM,15000000
Derrick Rose,NYK,14520730
Kevin Huerter,SAC,14508929
Christian Wood,DAL,14317459
Kentavious Caldwell-Pope,DEN,14004703
Brook Lopez,MIL,13906976
Patrick Beverley,LAL/CHI,13801614
Doug McDermott,SAS,13750000
Luke Kennard,LAC/MEM,13745455
Zion Williamson,NOP,13534817
Jordan Clarkson,UTA,13340000
Gary Harris,ORL,13000000
Kyle Kuzma,WAS,13000000
Josh Hart,NYK/POR,12960000
Dorian Finney-Smith,BRK/DAL,12939848
Kelly Olynyk,UTA,12804878
Chris Boucher,TOR,12690000
Robert Covington,LAC,12307692
Josh Richardson,NOP/SAS,12196094
Ja Morant,MEM,12119440
Danny Green,CLE/MEM,11710528
Terrence Ross,ORL/PHO,11500000
Reggie Jackson,DEN/LAC,11457217
Dillon Brooks,MEM,11400000
Richaun Holmes,SAC,11215260
Dwight Powell,DAL,11080125
Paolo Banchero,ORL,11055120
RJ Barrett,NYK,10900634
Bobby Portis,MIL,10843350
DeAndre Jordan,DEN,10733758
Anthony Edwards,MIN,10733400
Robert Williams,BOS,10714287
Cade Cunningham,DET,10552800
Mo Bamba,LAL/ORL,10300000
Talen Horton-Tucker,UTA,10260000
Jae Crowder,MIL,10183800
Ivica Zubac,LAC,10123457
Reggie Bullock,DAL,10012800
Alec Burks,DET,10012800
De'Andre Hunter,ATL,9835881
James Wiseman,GSW/DET,9603360
Landry Shamet,PHO,9500000
Malik Monk,SAC,9472219
Jalen Green,HOU,9441840
Jakob Poeltl,SAS/TOR,9398148
Nerlens Noel,BRK/DET,9391069
Royce O'Neale,BRK,9200000
Monte Morris,WAS,9125000
Mason Plumlee,LAC/CHO,9080417
Alex Caruso,CHI,9030000
Maxi Kleber,DAL,9000000
Grayson Allen,MIL,8925000
Darius Garland,CLE,8920794
Isaiah Hartenstein,NYK,8854879
Kyle Anderson,MIN,8780488
Victor Oladipo,MIA,8750000
Daniel Theis,IND,8694369
LaMelo Ball,CHO,8623920
Seth Curry,BRK,8496653
Evan Mobley,CLE,8478720
Gary Payton II,GSW/POR,8300000
Dewayne Dedmon,PHI/MIA,8283688
De'Anthony Melton,PHI,8250000
JaMychal Green,GSW,8200000
Keegan Murray,SAC,8008440
Kevon Looney,GSW,8000000
Thaddeus Young,TOR,8000000
Delon Wright,WAS,7804878
Patrick Williams,CHI,7775400
Scottie Barnes,TOR,7644600
Cedi Osman,CLE,7426088
Coby White,CHI,7413955
Zach Collins,SAS,7350000
Jaden Ivey,DET,7252200
Taurean Prince,MIN,7100000
Jae'Sean Tate,HOU,7065217
Isaac Okoro,CLE,7040880
Cody Martin,CHO,7000000
Jalen Suggs,ORL,6922320
Jaxson Hayes,NOP,6803012
Khem Birch,TOR,6667500
Bennedict Mathurin,IND,6586800
Bruce Brown,DEN,6479000
Caleb Martin,MIA,6479000
Joe Ingles,MIL,6479000
Onyeka Okongwu,ATL,6395160
Josh Giddey,OKC,6287400
Rui Hachimura,LAL/WAS,6263188
Rudy Gay,UTA,6184500
Jevon Carter,MIL,6025000
Shaedon Sharpe,POR,6012960
Cameron Payne,PHO,6000000
Justin Holiday,DAL/ATL,5987975
Cam Reddish,NYK/POR,5954454
Cameron Johnson,BRK/PHO,5887899
Ricky Rubio,CLE,5853659
Killian Hayes,DET,5837760
Jonathan Kuminga,GSW,5739840
Pat Connaughton,MIL,5728393
Tyler Herro,MIA,5722116
Romeo Langford,SAS,5634257
Dyson Daniels,NOP,5508600
JaVale McGee,DAL,5461219
Goga Bitadze,ORL/IND,5377520
Obi Toppin,NYK,5348280
Franz Wagner,ORL,5258280
